"EndTime","StartTime","ScriptPath","Duration"
"3/10/2025 8:01:53 PM","3/10/2025 7:59:34 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_gor01_one_2006-6-07_11-26-53\run_kdiba_gor01_one_2006-6-07_11-26-53.py","00:02:18.8962439"
"3/10/2025 8:02:05 PM","3/10/2025 8:01:55 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_gor01_one_2006-6-08_14-26-15\run_kdiba_gor01_one_2006-6-08_14-26-15.py","00:00:09.7276316"
"3/10/2025 8:02:17 PM","3/10/2025 8:02:07 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_gor01_one_2006-6-09_1-22-43\run_kdiba_gor01_one_2006-6-09_1-22-43.py","00:00:09.7210199"
"3/10/2025 8:05:25 PM","3/10/2025 8:02:19 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_gor01_one_2006-6-12_15-55-31\run_kdiba_gor01_one_2006-6-12_15-55-31.py","00:03:05.2510084"
"3/10/2025 8:10:16 PM","3/10/2025 8:05:26 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_gor01_two_2006-6-07_16-40-19\run_kdiba_gor01_two_2006-6-07_16-40-19.py","00:04:50.0605229"
"3/10/2025 8:14:02 PM","3/10/2025 8:10:17 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_gor01_two_2006-6-08_21-16-25\run_kdiba_gor01_two_2006-6-08_21-16-25.py","00:03:45.4493860"
"3/10/2025 8:20:56 PM","3/10/2025 8:14:05 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_gor01_two_2006-6-09_22-24-40\run_kdiba_gor01_two_2006-6-09_22-24-40.py","00:06:51.1817886"
"3/10/2025 8:22:34 PM","3/10/2025 8:20:59 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_gor01_two_2006-6-12_16-53-46\run_kdiba_gor01_two_2006-6-12_16-53-46.py","00:01:34.4630392"
"3/10/2025 8:23:08 PM","3/10/2025 8:22:35 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_vvp01_one_2006-4-09_17-29-30\run_kdiba_vvp01_one_2006-4-09_17-29-30.py","00:00:32.5832699"
"3/10/2025 8:24:52 PM","3/10/2025 8:23:08 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_vvp01_one_2006-4-10_12-25-50\run_kdiba_vvp01_one_2006-4-10_12-25-50.py","00:01:43.6436559"
"3/10/2025 8:26:33 PM","3/10/2025 8:24:53 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_vvp01_two_2006-4-09_16-40-54\run_kdiba_vvp01_two_2006-4-09_16-40-54.py","00:01:39.7216356"
"3/10/2025 8:28:15 PM","3/10/2025 8:26:36 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_vvp01_two_2006-4-10_12-58-3\run_kdiba_vvp01_two_2006-4-10_12-58-3.py","00:01:39.6516320"
"3/10/2025 8:30:26 PM","3/10/2025 8:28:18 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_pin01_one_11-02_17-46-44\run_kdiba_pin01_one_11-02_17-46-44.py","00:02:08.1876480"
"3/10/2025 8:31:51 PM","3/10/2025 8:30:27 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_pin01_one_11-02_19-28-0\run_kdiba_pin01_one_11-02_19-28-0.py","00:01:24.1291237"
"3/10/2025 8:32:59 PM","3/10/2025 8:31:54 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_pin01_one_11-03_12-3-25\run_kdiba_pin01_one_11-03_12-3-25.py","00:01:05.3474625"
"3/10/2025 8:35:49 PM","3/10/2025 8:33:00 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_pin01_one_fet11-01_12-58-54\run_kdiba_pin01_one_fet11-01_12-58-54.py","00:02:48.5289849"
"3/10/2025 9:17:39 PM","3/10/2025 9:16:10 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_gor01_one_2006-6-07_11-26-53\run_kdiba_gor01_one_2006-6-07_11-26-53.py","00:01:29.2684508"
"3/10/2025 9:17:50 PM","3/10/2025 9:17:40 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_gor01_one_2006-6-08_14-26-15\run_kdiba_gor01_one_2006-6-08_14-26-15.py","00:00:09.9142194"
"3/10/2025 9:18:02 PM","3/10/2025 9:17:52 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_gor01_one_2006-6-09_1-22-43\run_kdiba_gor01_one_2006-6-09_1-22-43.py","00:00:09.8716054"
"3/10/2025 9:54:44 PM","3/10/2025 9:18:04 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_gor01_one_2006-6-12_15-55-31\run_kdiba_gor01_one_2006-6-12_15-55-31.py","00:36:39.8711040"
"3/10/2025 9:58:08 PM","3/10/2025 9:54:47 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_gor01_two_2006-6-07_16-40-19\run_kdiba_gor01_two_2006-6-07_16-40-19.py","00:03:21.6215748"
"3/10/2025 10:00:34 PM","3/10/2025 9:58:11 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_gor01_two_2006-6-08_21-16-25\run_kdiba_gor01_two_2006-6-08_21-16-25.py","00:02:22.9656281"
"3/10/2025 10:05:03 PM","3/10/2025 10:00:35 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_gor01_two_2006-6-09_22-24-40\run_kdiba_gor01_two_2006-6-09_22-24-40.py","00:04:28.3868253"
"3/10/2025 10:06:09 PM","3/10/2025 10:05:05 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_gor01_two_2006-6-12_16-53-46\run_kdiba_gor01_two_2006-6-12_16-53-46.py","00:01:03.8121814"
"3/10/2025 10:06:45 PM","3/10/2025 10:06:11 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_vvp01_one_2006-4-09_17-29-30\run_kdiba_vvp01_one_2006-4-09_17-29-30.py","00:00:33.4493835"
"3/10/2025 10:07:58 PM","3/10/2025 10:06:47 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_vvp01_one_2006-4-10_12-25-50\run_kdiba_vvp01_one_2006-4-10_12-25-50.py","00:01:11.0949998"
"3/10/2025 10:09:08 PM","3/10/2025 10:08:00 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_vvp01_two_2006-4-09_16-40-54\run_kdiba_vvp01_two_2006-4-09_16-40-54.py","00:01:08.4874906"
"3/10/2025 10:10:17 PM","3/10/2025 10:09:09 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_vvp01_two_2006-4-10_12-58-3\run_kdiba_vvp01_two_2006-4-10_12-58-3.py","00:01:08.0821047"
"3/10/2025 10:11:43 PM","3/10/2025 10:10:18 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_pin01_one_11-02_17-46-44\run_kdiba_pin01_one_11-02_17-46-44.py","00:01:24.8529556"
